Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
1114," Kelly, J",0.667,0.0247,BOS,P,0.037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115," Kimbrel, C",0.667,0.0288,BOS,P,0.043,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183," Pomeranz, D",0.667,0.0124,BOS,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185," Poyner, B",0.667,0.0082,BOS,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197," Renda, T",0.667,0.0041,BOS,2B,0.006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1209," Scott, R",0.667,0.0041,BOS,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216," Smith, C",0.667,0.0041,BOS,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250," Walden, M",0.667,0.0082,BOS,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264," Workman, B",0.667,0.0165,BOS,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1266," Wright, S",0.667,0.0082,BOS,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6," Rosario, R",0.583,0.1547,CHC,P,0.265,43,1,1,1,0,0,0,1,1,0,0,0,1,1,1,2
22," Davis, T",0.583,0.0180,CHC,C,0.031,5,5,0,2,0,0,0,2,0,1,0,0,0.4,0.333,0.4,0.733
23," Zagunis, M",0.583,0.0180,CHC,RF,0.031,5,5,0,2,1,0,0,1,1,1,0,0,0.4,0.5,0.6,1.1
58," Zobrist, B",0.583,0.5002,CHC,2B,0.858,139,455,67,139,28,3,9,58,55,60,3,4,0.305,0.378,0.44,0.817
71," Murphy, D",0.583,0.3275,CHC,2B,0.562,91,328,40,98,15,0,12,42,20,40,3,0,0.299,0.336,0.454,0.79
94," Baez, J",0.583,0.5758,CHC,2B,0.988,160,606,101,176,40,9,34,111,29,167,21,9,0.29,0.326,0.554,0.881
108," Almora Jr., A",0.583,0.5470,CHC,CF,0.938,152,444,62,127,24,1,5,41,24,83,1,3,0.286,0.323,0.378,0.701
121," Rizzo, A",0.583,0.5506,CHC,1B,0.944,153,566,74,160,29,1,25,101,70,80,6,4,0.283,0.376,0.47,0.846
